year,old_name,new_name,reversed,note,
2010,mlb005g,ssup7sp,1,NA,
2010,mlb008a,ssup1ch,1,NA,
2010,mlb008b,ssup2ch,1,NA,
2010,mlb008c,ssup3ch,1,NA,
2010,mlb008d,ssup4ch,1,NA,
2010,mlb008e,ssup5ch,1,NA,
2010,mlb008f,ssup6ch,1,NA,
2010,mlb008g,ssup7ch,1,NA,
2010,mlb012a,ssup1fam,1,NA,
2010,mlb012b,ssup2fam,1,NA,
2010,mlb012c,ssup3fam,1,NA,
2010,mlb012d,ssup4fam,1,NA,
2010,mlb012e,ssup5fam,1,NA,
2010,mlb012f,ssup6fam,1,NA,
2010,mlb012g,ssup7fam,1,NA,
2010,mlb016a,ssup1fr,1,NA,
2010,mlb016b,ssup2fr,1,NA,
2010,mlb016c,ssup3fr,1,NA,
2010,mlb016d,ssup4fr,1,NA,
2010,mlb016e,ssup5fr,1,NA,
2010,mlb016f,ssup6fr,1,NA,
2010,mlb016g,ssup7fr,1,NA,
2012,nlb005a,ssup1sp,1,NA,SP/P UNDERSTAND THE WAY YOU FEEL
2012,nlb005b,ssup2sp,1,NA,RELY ON SP/P IF SERIOUS PROBLEM
2012,nlb005c,ssup3sp,1,NA,OPEN UP TO SP/P ABOUT WORRIES
2012,nlb005d,ssup4sp,1,NA,TOO MANY DEMANDS ON YOU - SP/P
2012,nlb005e,ssup5sp,1,NA,AMT SP/P CRITICIZES YOU
2012,nlb005f,ssup6sp,1,NA,SP/P LET YOU DOWN
2012,nlb005g,ssup7sp,1,NA,SP/P GETS ON YOUR NERVES
2012,nlb008a,ssup1ch,1,NA,
2012,nlb008b,ssup2ch,1,NA,
2012,nlb008c,ssup3ch,1,NA,
2012,nlb008d,ssup4ch,1,NA,
2012,nlb008e,ssup5ch,1,NA,
2012,nlb008f,ssup6ch,1,NA,
2012,nlb008g,ssup7ch,1,NA,
2012,nlb012a,ssup1fam,1,NA,
2012,nlb012b,ssup2fam,1,NA,
2012,nlb012c,ssup3fam,1,NA,
2012,nlb012d,ssup4fam,1,NA,
2012,nlb012e,ssup5fam,1,NA,
2012,nlb012f,ssup6fam,1,NA,
2012,nlb012g,ssup7fam,1,NA,
2012,nlb016a,ssup1fr,1,NA,
2012,nlb016b,ssup2fr,1,NA,
2012,nlb016c,ssup3fr,1,NA,
2012,nlb016d,ssup4fr,1,NA,
2012,nlb016e,ssup5fr,1,NA,
2012,nlb016f,ssup6fr,1,NA,
2012,nlb016g,ssup7fr,1,NA,
2014,olb004a,ssup1sp,1,NA,
2014,olb004b,ssup2sp,1,NA,
2014,olb004c,ssup3sp,1,NA,
2014,olb004d,ssup4sp,1,NA,
2014,olb004e,ssup5sp,1,NA,
2014,olb004f,ssup6sp,1,NA,
2014,olb004g,ssup7sp,1,NA,
2014,olb007a,ssup1ch,1,NA,
2014,olb007b,ssup2ch,1,NA,
2014,olb007c,ssup3ch,1,NA,
2014,olb007d,ssup4ch,1,NA,
2014,olb007e,ssup5ch,1,NA,
2014,olb007f,ssup6ch,1,NA,
2014,olb007g,ssup7ch,1,NA,
2014,olb011a,ssup1fam,1,NA,
2014,olb011b,ssup2fam,1,NA,
2014,olb011c,ssup3fam,1,NA,
2014,olb011d,ssup4fam,1,NA,
2014,olb011e,ssup5fam,1,NA,
2014,olb011f,ssup6fam,1,NA,
2014,olb011g,ssup7fam,1,NA,
2014,olb015a,ssup1fr,1,NA,
2014,olb015b,ssup2fr,1,NA,
2014,olb015c,ssup3fr,1,NA,
2014,olb015d,ssup4fr,1,NA,
2014,olb015e,ssup5fr,1,NA,
2014,olb015f,ssup6fr,1,NA,
2014,olb015g,ssup7fr,1,NA,
